ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24732,JC424523,09/08/2019 06:38:00 AM,021XX N MAPLEWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1431,014,1,22,01A,1158964,1914205,2019,09/15/2019 04:08:01 PM,41.9203106,-87.69136176,"(41.9203106, -87.69136176)"
24734,JC425361,09/08/2019 09:54:00 PM,009XX W 52ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0934,009,20,61,01A,1171001,1870357,2019,04/02/2020 03:49:18 PM,41.799732456,-87.648420994,"(41.799732456, -87.648420994)"
24733,JC425214,09/08/2019 07:24:00 PM,054XX S LAWNDALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0822,008,23,62,01A,1152632,1868321,2019,09/15/2019 04:08:01 PM,41.794527267,-87.715839258,"(41.794527267, -87.715839258)"
24736,JC425539,09/09/2019 03:45:00 AM,075XX S COLES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0421,004,7,43,01A,1195754,1855853,2019,09/16/2019 04:29:11 PM,41.759355486,-87.55812601,"(41.759355486, -87.55812601)"
24737,JC426813,09/09/2019 09:36:00 PM,106XX S AVENUE O,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0432,004,10,52,01A,1200867,1834994,2019,09/16/2019 04:29:11 PM,41.701988889,-87.540092009,"(41.701988889, -87.540092009)"
24400,JC145553,02/09/2019 12:07:00 AM,018XX W MAYPOLE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,1223,012,27,28,01A,1164149,1901069,2019,01/25/2020 03:52:06 PM,41.884156374,-87.672682817,"(41.884156374, -87.672682817)"
24738,JC426981,09/10/2019 01:25:00 AM,047XX S CICERO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0815,008,14,56,01A,1145155,1872875,2019,09/17/2019 04:20:17 PM,41.80716827,-87.743142974,"(41.80716827, -87.743142974)"
24739,JC426999,09/10/2019 02:11:00 AM,016XX S LOOMIS ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1233,012,25,31,01A,1167302,1892081,2019,09/17/2019 04:20:17 PM,41.859425387,-87.661363064,"(41.859425387, -87.661363064)"
24740,JC428965,09/11/2019 02:48:00 PM,024XX E 74TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0334,003,7,43,01A,1193709,1856366,2019,09/18/2019 04:24:45 PM,41.760813522,-87.565603941,"(41.760813522, -87.565603941)"
24742,JC429621,09/12/2019 12:25:00 AM,059XX S PARNELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0711,007,20,68,01A,1173648,1865411,2019,09/19/2019 04:14:07 PM,41.786101822,-87.638860285,"(41.786101822, -87.638860285)"
24747,JC432099,09/13/2019 05:30:00 PM,082XX S EMERALD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0622,006,21,71,01A,1172741,1850139,2019,09/20/2019 04:01:26 PM,41.744213662,-87.642635417,"(41.744213662, -87.642635417)"
24745,JC432520,09/13/2019 11:50:00 PM,060XX S LA SALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0311,003,20,68,01A,1176337,1864943,2019,09/20/2019 04:01:26 PM,41.784757558,-87.629015193,"(41.784757558, -87.629015193)"
24743,JC432309,09/13/2019 08:22:00 PM,051XX W BELMONT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1634,016,31,15,01A,1141639,1920792,2019,09/20/2019 04:01:26 PM,41.93872425,-87.754854391,"(41.93872425, -87.754854391)"
24744,JC432391,09/13/2019 09:32:00 PM,036XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0212,002,3,35,01A,1178196,1880992,2019,09/20/2019 04:01:26 PM,41.828755455,-87.621712165,"(41.828755455, -87.621712165)"
11741456,JC328580,06/30/2019 12:00:00 PM,098XX S VAN VLISSINGEN RD,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0431,004,7,51,01B,1191396,1839972,2019,09/21/2019 03:54:20 PM,41.715883203,-87.574610766,"(41.715883203, -87.574610766)"
24746,JC432593,09/14/2019 02:27:00 AM,005XX N LAWLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1532,015,37,25,01A,1142599,1903205,2019,09/21/2019 04:01:05 PM,41.8904458,-87.751764409,"(41.8904458, -87.751764409)"
24750,JC433195,09/14/2019 03:15:00 PM,110XX S BISHOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2234,022,34,75,01A,1168516,1831704,2019,09/21/2019 04:01:05 PM,41.693717233,-87.658645623,"(41.693717233, -87.658645623)"
24749,JC432731,09/14/2019 06:29:00 AM,018XX S KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1012,010,24,29,01A,1148680,1890680,2019,09/21/2019 04:01:05 PM,41.85596047,-87.729755324,"(41.85596047, -87.729755324)"
24748,JC432658,09/14/2019 02:56:00 AM,083XX S PEORIA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0613,006,21,71,01A,1171745,1849599,2019,09/21/2019 04:01:05 PM,41.74275371,-87.646300658,"(41.74275371, -87.646300658)"
24810,JC482903,10/22/2019 11:51:00 PM,057XX S DAMEN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0715,007,15,67,01A,1164006,1866635,2019,10/29/2019 03:51:02 PM,41.789668907,-87.674178261,"(41.789668907, -87.674178261)"
24752,JC435136,09/16/2019 04:38:00 AM,040XX N NARRAGANSETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1632,016,38,17,01A,1132977,1925990,2019,09/23/2019 04:16:49 PM,41.953144111,-87.786568029,"(41.953144111, -87.786568029)"
24751,JC435063,09/16/2019 01:12:00 AM,007XX N ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1121,011,27,23,01A,1152913,1904769,2019,09/23/2019 04:16:49 PM,41.894539497,-87.713844747,"(41.894539497, -87.713844747)"
24470,JC214156,04/06/2019 04:25:00 PM,017XX W STEUBEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2234,022,34,75,01A,1166846,1829290,2019,09/24/2019 04:27:56 PM,41.687128541,-87.664828494,"(41.687128541, -87.664828494)"
24754,JC438604,09/18/2019 06:02:00 PM,042XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,1115,011,28,26,01A,1148227,1899678,2019,09/25/2019 03:53:23 PM,41.880660786,-87.731186405,"(41.880660786, -87.731186405)"
24753,JC438604,09/18/2019 03:21:00 PM,042XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,1115,011,28,26,01A,1148227,1899678,2019,09/25/2019 03:53:23 PM,41.880660786,-87.731186405,"(41.880660786, -87.731186405)"
24755,JC438604,09/18/2019 04:33:00 PM,042XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,1115,011,28,26,01A,1148227,1899678,2019,09/25/2019 03:53:23 PM,41.880660786,-87.731186405,"(41.880660786, -87.731186405)"
24756,JC440249,09/19/2019 06:30:00 PM,002XX W 119TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0522,005,34,53,01A,1176859,1826030,2019,09/26/2019 04:25:03 PM,41.677963533,-87.628270027,"(41.677963533, -87.628270027)"
24757,JC429531,09/19/2019 02:00:00 PM,075XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0624,006,6,69,01A,1182529,1855241,2019,09/26/2019 04:25:03 PM,41.757992905,-87.606613524,"(41.757992905, -87.606613524)"
24758,JC443095,09/21/2019 08:12:00 PM,000XX E 112TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,BARBER SHOP/BEAUTY SALON,true,false,0531,005,9,49,01A,1178477,1830384,2019,12/07/2019 03:47:40 PM,41.689875069,-87.622216076,"(41.689875069, -87.622216076)"
24761,JC444497,09/22/2019 11:52:00 PM,030XX N KIMBALL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1412,014,35,21,01A,1153196,1919980,2019,09/29/2019 03:59:00 PM,41.936274201,-87.712400898,"(41.936274201, -87.712400898)"
24759,JC444266,09/22/2019 01:35:00 AM,083XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,006,8,44,01A,1183343,1849872,2019,09/29/2019 03:59:00 PM,41.743240897,-87.603797174,"(41.743240897, -87.603797174)"
